PM2.5,NO2,CO,Humidity,Label
68.8,113.87,4.89,81.06,Red
128.32,87.71,4.34,93.68,Red
83.96,11.42,5.23,27.65,Red
11.44,25.96,4.02,27.78,Red
163.29,126.38,3.43,30.65,Red
90.34,100.57,5.36,40.68,Red
86.24,84.62,5.38,85.63,Red
152.49,61.34,0.97,29.38,Red
111.49,55.26,4.34,81.43,Red
127.2,98.22,3.03,90.35,Red
106.52,44.67,4.31,80.26,Red
8.17,37.04,0.17,56.62,Green
17.43,98.86,1.61,93.04,Red
8.2,145.7,5.06,73.78,Red
54.5,148.25,2.95,70.02,Red
5.79,145.67,4.22,64.89,Red
109.73,115.01,3.28,43.27,Red
62.2,91.58,3.4,54.19,Red
133.3,11.7,2.82,86.51,Red
21.29,89.2,5.49,26.62,Red
58.18,27.72,2.39,35.14,Amber
135.02,33.87,0.22,46.82,Red
102.44,140.96,3.64,77.53,Red
80.84,95.21,0.9,38.25,Red
69.73,61.14,2.26,65.26,Amber
66.37,99.48,0.62,62.82,Red
42.07,135.22,4.9,35.75,Red
94.43,18.62,0.26,43.93,Red
53.77,134.95,1.56,51.0,Red
159.9,62.93,4.49,65.02,Red
7.78,121.71,3.69,67.14,Red
178.67,25.57,4.72,58.3,Red
82.02,149.03,2.28,67.55,Red
177.11,143.31,0.7,43.31,Red
84.85,53.79,3.09,60.95,Red
17.76,81.69,3.73,86.7,Red
70.83,36.43,1.08,26.19,Amber
155.09,12.3,2.24,67.89,Red
132.1,16.0,2.42,71.46,Red
111.57,18.07,3.0,84.58,Red
104.51,34.29,5.11,59.17,Red
6.69,56.48,0.82,26.1,Amber
51.22,83.17,3.89,80.12,Red
120.56,145.69,1.22,70.26,Red
154.45,118.55,3.43,55.44,Red
65.21,96.32,1.56,31.26,Red
134.0,33.29,2.68,54.7,Red
147.25,117.61,4.49,71.21,Red
52.77,42.82,4.77,82.4,Red
18.09,131.05,4.01,33.48,Red
170.48,18.1,1.44,38.18,Red
60.52,23.4,4.41,81.86,Red
158.91,112.08,1.25,60.33,Red
106.59,110.95,1.76,63.78,Red
35.38,54.17,1.72,70.62,Amber
91.34,138.31,4.05,67.67,Red
5.2,19.66,3.96,36.65,Red
43.88,118.19,1.97,85.38,Red
166.14,132.49,1.62,35.73,Red
103.75,48.56,5.2,93.89,Red
141.91,88.01,1.75,66.9,Red
113.39,13.98,1.19,58.53,Red
176.04,131.56,3.61,79.27,Red
83.95,140.67,3.45,80.52,Red
20.93,56.42,0.14,76.49,Amber
94.27,129.89,4.67,27.36,Red
39.9,125.87,2.39,93.82,Red
65.1,95.49,0.44,29.05,Red
55.79,113.08,1.96,53.44,Red
104.41,95.37,4.71,92.16,Red
46.85,113.11,0.39,35.81,Red
49.57,143.95,4.28,86.13,Red
48.53,54.83,2.98,42.19,Red
7.01,45.37,2.17,45.97,Amber
161.46,104.55,1.55,70.58,Red
141.6,131.35,0.42,71.51,Red
6.84,119.63,2.46,85.88,Red
141.82,13.66,2.18,75.62,Red
137.91,98.34,3.96,32.17,Red
164.71,120.64,0.96,94.95,Red
118.43,112.19,5.45,33.4,Red
16.48,105.76,0.9,77.73,Red
122.82,53.54,4.87,68.18,Red
127.97,127.01,5.19,31.78,Red
153.5,83.39,1.24,72.12,Red
43.71,113.9,5.43,42.96,Red
87.2,121.21,3.38,35.3,Red
28.34,51.38,1.79,31.23,Amber
28.42,130.83,1.66,31.83,Red
61.64,145.04,0.7,77.27,Red
87.87,76.3,0.91,36.27,Red
50.27,47.21,0.96,30.59,Amber
142.5,23.31,1.36,84.76,Red
83.63,84.55,0.55,81.86,Red
64.83,21.21,0.21,48.34,Amber
13.28,58.35,3.18,39.58,Red
61.57,49.39,0.97,90.01,Amber
7.41,27.84,1.5,65.62,Amber
104.94,116.26,5.25,29.65,Red
18.84,48.97,5.19,75.01,Red
7.7,123.83,3.99,30.21,Red
72.3,10.67,2.63,76.79,Red
168.91,93.25,0.29,67.88,Red
15.62,77.71,5.15,78.1,Red
36.47,18.03,0.29,78.75,Amber
87.18,20.3,4.62,26.29,Red
112.66,10.22,4.31,50.49,Red
116.92,110.81,3.39,92.65,Red
89.94,80.1,4.38,44.35,Red
133.59,45.27,3.96,46.68,Red
38.85,71.99,2.24,45.68,Amber
33.91,71.42,3.71,34.61,Red
131.93,138.28,2.34,58.26,Red
162.06,21.27,5.23,42.5,Red
14.41,138.32,2.05,66.53,Red
136.81,120.93,0.24,59.55,Red
86.81,148.08,0.22,63.1,Red
124.68,49.22,1.56,77.43,Red
159.08,84.33,2.01,31.61,Red
98.43,65.51,0.63,45.56,Red
114.6,95.15,5.07,77.74,Red
23.93,111.17,1.62,28.39,Red
102.28,37.57,0.27,49.92,Red
148.32,107.14,2.42,42.43,Red
63.42,23.65,3.57,91.58,Red
162.28,97.58,5.07,75.11,Red
151.82,68.63,4.66,72.26,Red
176.14,139.06,0.19,88.17,Red
58.24,123.37,3.09,49.39,Red
160.63,120.5,1.97,81.94,Red
10.57,86.38,0.64,72.91,Red
141.96,35.54,1.29,26.07,Red
35.41,104.48,1.47,73.59,Red
112.78,33.71,1.63,50.97,Red
70.64,146.95,2.03,60.49,Red
100.53,45.04,1.68,79.1,Red
138.04,142.57,1.28,89.69,Red
54.64,55.47,2.65,83.96,Red
95.46,140.77,4.12,69.8,Red
46.29,11.06,1.4,70.69,Amber
42.18,42.89,3.88,70.84,Red
170.85,39.58,2.28,44.6,Red
161.4,64.38,5.24,69.38,Red
111.66,125.47,1.95,85.87,Red
76.92,115.06,2.25,29.62,Red
81.42,43.65,2.66,48.75,Red
99.16,139.08,2.61,44.44,Red
30.11,12.86,4.66,37.35,Red
121.66,34.41,0.56,84.14,Red
108.31,113.14,4.77,46.26,Red
64.18,24.71,1.37,67.84,Amber
24.7,40.79,4.73,65.4,Red
39.13,49.65,1.69,33.66,Amber
21.28,124.12,2.51,75.52,Red
142.36,139.84,0.94,65.96,Red
33.08,60.11,3.15,91.68,Red
179.85,36.7,3.07,46.72,Red
27.94,53.64,5.43,67.79,Red
160.58,104.86,4.86,37.11,Red
59.9,14.65,2.56,29.23,Red
97.83,13.06,3.91,77.39,Red
26.75,59.33,1.09,66.68,Amber
124.03,125.0,3.91,58.43,Red
16.22,127.14,4.52,72.27,Red
99.81,128.23,1.11,48.29,Red
88.4,33.65,3.08,37.29,Red
24.48,35.71,1.67,66.47,Amber
177.92,96.47,5.35,47.44,Red
140.43,112.65,2.51,71.11,Red
37.59,46.58,4.23,72.5,Red
109.49,93.91,2.17,39.21,Red
97.05,57.04,0.53,40.21,Red
105.41,59.7,0.91,25.8,Red
63.65,93.88,2.65,73.15,Red
97.34,139.49,1.95,46.46,Red
105.96,14.28,1.61,45.82,Red
130.98,142.79,1.51,37.98,Red
169.82,53.89,4.09,78.16,Red
171.98,43.13,1.57,52.61,Red
116.97,36.14,2.45,60.48,Red
102.84,128.79,3.61,63.9,Red
101.23,66.02,3.8,89.04,Red
19.41,98.28,1.71,71.2,Red
105.33,93.77,0.25,34.16,Red
99.07,86.01,5.42,32.78,Red
42.52,147.85,0.81,36.58,Red
33.95,83.33,4.73,65.95,Red
16.44,113.27,0.76,32.01,Red
54.26,86.84,4.39,48.06,Red
162.58,63.73,3.73,79.65,Red
144.01,90.51,0.49,49.94,Red
134.48,66.14,0.24,56.36,Red
151.21,38.62,2.55,35.58,Red
116.8,41.13,4.15,75.74,Red
176.39,132.74,0.8,55.69,Red
152.88,113.72,2.24,57.44,Red
94.43,147.75,0.35,47.81,Red
71.99,83.87,4.6,50.47,Red
16.19,18.88,2.27,72.72,Amber
87.77,64.99,2.69,42.27,Red
92.15,62.74,1.84,46.77,Red
66.8,97.14,0.51,78.06,Red
24.39,24.56,1.31,63.21,Amber
32.8,27.65,3.95,45.69,Red
166.55,86.42,4.56,91.12,Red
31.21,15.03,2.08,59.58,Amber
19.13,34.27,4.95,59.12,Red
72.3,95.18,1.15,63.74,Red
170.52,44.4,5.3,33.82,Red
162.18,35.6,2.07,48.47,Red
92.07,25.59,1.18,84.57,Red
137.03,140.97,2.29,41.95,Red
7.56,89.46,0.83,91.9,Red
90.64,28.68,3.41,33.34,Red
174.66,71.63,1.27,58.4,Red
53.31,38.94,2.09,52.9,Amber
6.83,66.01,3.78,58.93,Red
175.58,51.22,4.48,80.19,Red
91.79,10.88,2.59,59.38,Red
140.57,77.56,2.06,54.04,Red
24.41,41.56,1.05,88.57,Amber
84.31,103.69,3.77,32.88,Red
102.99,69.39,3.69,56.56,Red
110.63,68.88,4.91,73.19,Red
68.79,95.86,1.18,90.54,Red
114.02,106.79,2.6,52.63,Red
75.2,119.04,2.32,75.68,Red
113.21,33.52,2.66,67.19,Red
11.03,31.08,1.04,34.21,Amber
173.83,81.95,2.65,64.15,Red
53.57,136.32,3.73,41.69,Red
102.59,30.46,5.2,77.49,Red
162.63,149.84,4.29,56.2,Red
12.07,101.89,1.69,68.81,Red
108.12,104.15,5.12,78.21,Red
179.29,117.41,5.17,84.51,Red
137.57,53.2,0.43,51.35,Red
140.4,49.15,3.69,74.37,Red
39.74,55.24,3.87,52.19,Red
45.04,34.14,5.27,40.64,Red
70.47,87.61,3.0,30.78,Red
92.91,118.48,4.26,30.08,Red
120.09,51.2,5.43,76.72,Red
112.09,61.73,1.98,75.58,Red
113.58,82.19,1.35,75.5,Red
88.1,75.17,3.68,56.27,Red
28.13,67.69,4.05,86.0,Red
126.75,45.6,0.74,41.93,Red
136.15,115.63,4.57,81.75,Red
141.74,125.78,0.16,27.05,Red
142.59,68.15,0.26,39.84,Red
108.17,61.72,4.78,93.31,Red
41.13,138.14,4.33,52.27,Red
150.98,139.68,0.16,69.7,Red
121.75,63.09,2.85,28.46,Red
37.86,107.48,2.97,38.43,Red
171.03,79.51,3.02,27.88,Red
110.97,142.77,2.12,68.93,Red
53.02,134.23,4.9,92.98,Red
177.58,42.14,2.13,64.82,Red
41.95,116.05,3.78,90.59,Red
71.94,94.77,5.29,48.12,Red
131.43,80.54,0.22,66.32,Red
86.24,11.44,3.93,33.46,Red
75.97,67.45,1.26,91.81,Red
84.45,104.4,4.49,44.51,Red
7.98,139.12,3.36,50.64,Red
165.97,119.94,3.58,61.7,Red
129.72,131.91,4.07,45.19,Red
73.65,134.95,4.19,50.57,Red
132.02,77.19,2.76,84.24,Red
24.01,39.98,4.38,67.04,Red
78.93,38.68,4.21,32.33,Red
24.91,41.64,1.18,36.51,Amber
16.98,125.3,1.12,25.32,Red
22.68,130.46,2.59,73.44,Red
54.2,127.09,1.47,27.37,Red
157.53,147.38,2.02,51.94,Red
134.05,45.62,0.95,48.93,Red
154.03,120.24,4.79,53.35,Red
127.87,44.45,2.89,83.04,Red
93.44,53.1,2.76,86.74,Red
31.79,57.6,1.51,52.93,Amber
170.91,90.45,2.26,66.08,Red
85.47,74.17,2.81,59.5,Red
155.55,104.18,2.31,82.07,Red
165.74,109.96,3.91,70.84,Red
165.12,20.86,0.97,25.48,Red
74.17,30.5,4.87,91.64,Red
140.0,82.77,0.63,31.49,Red
21.48,70.78,4.08,70.41,Red
116.3,143.85,0.13,72.13,Red
145.66,133.31,3.75,82.43,Red
102.9,32.02,2.99,31.35,Red
86.81,24.0,2.87,30.92,Red
144.9,75.63,4.02,31.46,Red
170.63,100.77,1.8,69.17,Red
72.94,103.49,5.48,50.45,Red
178.71,105.19,4.28,26.52,Red
131.29,134.53,1.38,74.64,Red
85.5,125.24,3.37,92.54,Red
77.11,77.85,2.98,73.81,Red
31.97,117.03,1.49,48.84,Red
170.98,41.61,1.04,84.98,Red
139.6,69.59,2.34,62.45,Red
106.32,56.12,2.96,83.41,Red
21.03,60.56,4.47,67.15,Red
87.75,109.09,2.16,77.79,Red
90.02,15.93,3.15,82.24,Red
82.09,46.63,0.19,51.84,Red
166.61,23.82,1.54,49.09,Red
109.68,54.34,3.47,31.47,Red
58.82,41.76,4.0,93.19,Red
90.77,79.45,2.81,62.31,Red
42.75,128.31,3.31,85.59,Red
123.16,11.82,3.47,89.43,Red
15.99,139.23,4.03,34.84,Red
68.99,128.32,0.88,35.41,Red
28.91,99.42,3.81,48.55,Red
111.22,144.88,0.22,39.08,Red
80.33,45.93,4.0,51.49,Red
118.93,97.76,3.13,59.13,Red
111.05,53.77,5.47,94.58,Red
59.73,29.09,0.64,77.81,Amber
148.91,148.67,4.53,62.31,Red
171.08,134.79,0.26,55.66,Red
15.19,121.71,2.21,54.92,Red
132.81,147.2,2.53,47.07,Red
25.46,57.92,3.76,56.61,Red
76.34,91.55,0.93,63.28,Red
18.05,138.72,1.89,80.05,Red
38.24,72.57,3.55,83.38,Red
116.69,42.65,2.7,67.64,Red
63.23,84.79,3.35,77.71,Red
38.98,122.45,4.42,74.02,Red
90.05,74.18,2.77,36.97,Red
23.11,78.49,4.84,89.54,Red
67.28,132.15,4.01,82.77,Red
99.64,85.93,2.61,69.72,Red
31.92,139.88,1.79,29.57,Red
10.99,128.93,5.21,34.51,Red
83.22,89.98,0.74,50.26,Red
56.35,74.28,0.15,64.88,Amber
101.48,108.47,4.48,51.4,Red
153.45,89.76,4.41,77.91,Red
103.31,73.92,1.06,82.35,Red
129.16,89.21,4.98,35.42,Red
178.21,13.6,3.51,53.51,Red
90.74,73.26,5.37,33.53,Red
9.3,27.38,1.33,79.64,Amber
105.19,57.94,2.79,93.8,Red
80.62,140.2,0.68,26.05,Red
120.67,54.69,2.27,61.94,Red
78.78,148.09,4.52,82.03,Red
33.62,35.82,0.81,73.87,Amber
53.73,45.86,1.98,42.6,Amber
161.24,63.29,4.38,48.21,Red
87.47,104.92,3.99,60.21,Red
34.88,36.69,3.37,34.62,Red
36.34,127.05,5.32,86.31,Red
56.99,146.68,2.0,48.58,Red
123.66,25.73,3.17,40.66,Red
47.8,70.9,1.13,28.61,Amber
153.22,90.71,1.82,49.78,Red
164.02,131.83,3.37,27.4,Red
10.68,80.43,4.07,84.02,Red
134.12,96.83,4.72,35.15,Red
67.52,75.22,3.56,72.36,Red
154.23,47.91,2.61,27.34,Red
93.59,21.97,3.96,77.07,Red
129.64,116.25,4.42,42.83,Red
82.49,59.44,2.25,45.32,Red
165.95,43.37,0.75,80.13,Red
102.24,34.42,0.4,77.34,Red
98.05,60.5,4.75,35.92,Red
152.47,50.64,0.75,59.36,Red
176.44,84.53,3.86,44.43,Red
37.35,133.92,1.05,78.73,Red
7.57,87.07,3.8,54.1,Red
107.87,114.91,2.69,53.11,Red
104.4,138.64,2.7,88.74,Red
136.91,47.71,1.65,89.96,Red
114.12,80.42,2.6,52.54,Red
114.65,47.5,2.36,72.97,Red
174.87,44.73,1.35,39.15,Red
139.66,78.97,3.42,44.86,Red
107.84,126.59,0.78,77.56,Red
76.34,53.79,1.66,58.52,Red
133.95,136.06,4.82,70.71,Red
173.04,45.79,3.34,61.42,Red
128.84,146.69,2.65,60.34,Red
99.06,108.12,4.71,70.34,Red
81.22,59.54,4.33,71.92,Red
18.61,86.56,3.37,78.72,Red
173.61,121.49,5.41,36.29,Red
48.61,27.06,2.67,47.53,Red
139.82,142.46,3.75,37.35,Red
65.46,134.0,0.57,38.5,Red
154.24,72.95,3.72,36.92,Red
160.82,67.45,5.15,62.95,Red
164.15,97.11,4.76,61.48,Red
85.44,144.02,4.9,91.98,Red
144.64,94.75,2.45,65.3,Red
93.66,144.93,0.47,84.14,Red
92.58,67.46,3.72,64.7,Red
22.85,51.08,3.59,68.25,Red
147.74,61.69,1.55,60.35,Red
108.15,86.62,3.33,69.23,Red
33.12,24.17,1.71,82.9,Amber
65.38,106.44,4.63,31.41,Red
44.19,22.03,2.33,38.6,Amber
12.12,86.17,1.51,56.64,Red
111.89,26.91,4.79,41.5,Red
48.38,109.34,1.03,90.32,Red
85.56,111.49,4.01,54.58,Red
5.85,66.09,5.07,39.86,Red
165.87,84.72,0.58,49.32,Red
104.77,129.61,0.67,26.59,Red
93.49,148.87,0.84,50.61,Red
16.3,54.7,2.28,70.0,Amber
85.19,91.17,1.51,44.47,Red
43.78,59.01,4.86,58.3,Red
113.54,97.57,4.07,74.2,Red
179.87,120.43,3.96,78.35,Red
76.5,23.92,0.36,91.76,Red
86.11,113.31,1.52,42.07,Red
38.23,88.11,5.29,33.54,Red
47.93,33.54,2.57,27.39,Red
140.02,113.51,3.9,54.25,Red
106.12,88.67,3.11,46.93,Red
99.68,80.47,2.53,26.44,Red
77.45,12.59,5.23,42.24,Red
41.33,102.37,1.0,76.28,Red
118.33,17.23,4.72,73.38,Red
92.8,109.1,5.5,26.34,Red
72.65,40.43,5.36,37.19,Red
27.02,80.04,2.35,26.58,Red
103.07,16.61,5.02,32.75,Red
46.81,17.2,3.65,43.74,Red
151.81,74.9,0.16,26.16,Red
174.31,127.01,1.71,62.28,Red
133.05,30.68,1.14,64.09,Red
136.98,45.1,3.14,74.51,Red
30.94,49.11,2.17,57.45,Amber
114.47,89.52,1.3,29.46,Red
98.89,63.48,1.22,58.68,Red
110.61,33.28,0.38,45.03,Red
30.62,116.85,3.83,72.67,Red
132.33,66.85,1.03,80.65,Red
132.36,57.59,2.76,90.44,Red
121.19,45.15,1.56,37.33,Red
148.27,92.24,3.51,90.74,Red
41.98,61.83,4.85,38.17,Red
60.92,111.02,1.0,94.81,Red
105.19,89.46,3.31,81.64,Red
99.05,26.9,3.33,44.61,Red
7.62,12.75,1.03,37.34,Amber
54.46,33.13,5.18,69.56,Red
149.63,17.82,1.94,27.15,Red
94.96,90.25,3.4,41.45,Red
65.91,125.9,2.83,68.14,Red
69.75,20.91,0.45,74.77,Amber
57.31,20.82,4.16,32.84,Red
97.48,43.65,4.29,92.96,Red
25.47,66.53,2.33,31.09,Amber
131.21,97.72,1.06,58.02,Red
78.33,33.91,5.37,71.45,Red
48.45,48.63,3.55,72.42,Red
115.35,59.99,0.26,71.39,Red
97.06,119.74,2.25,68.98,Red
66.58,23.04,5.29,41.22,Red
125.67,71.38,3.06,82.66,Red
105.93,149.19,2.39,52.29,Red
6.87,148.32,4.15,59.14,Red
71.55,61.72,2.32,78.65,Amber
10.24,24.84,5.44,37.03,Red
123.3,11.22,1.22,27.92,Red
88.75,119.66,5.02,43.22,Red
154.94,14.31,3.63,50.13,Red
101.64,57.44,1.02,65.12,Red
171.13,120.42,5.19,70.66,Red
120.7,34.71,2.7,77.65,Red
46.45,103.43,3.57,73.65,Red
48.97,60.49,4.55,88.92,Red
134.84,34.04,2.26,72.49,Red
56.95,129.98,2.04,25.86,Red
65.34,24.8,4.24,62.1,Red
173.77,23.37,5.01,64.08,Red
92.31,123.3,3.12,38.71,Red
54.74,100.29,0.39,26.91,Red
28.79,74.69,1.84,51.6,Amber
63.28,115.94,3.65,48.62,Red
15.12,43.15,5.3,78.27,Red
44.22,98.17,5.14,82.66,Red
97.4,136.99,4.1,54.67,Red
89.9,68.46,2.67,90.78,Red
47.44,146.5,0.55,87.44,Red
173.31,101.1,1.87,43.84,Red
128.82,92.79,0.31,67.29,Red
98.74,67.84,0.35,43.32,Red
150.39,54.21,3.31,71.38,Red
135.59,62.93,2.33,55.75,Red
163.75,118.87,4.16,79.44,Red
15.82,91.75,5.14,25.11,Red
147.58,149.49,0.5,90.79,Red
45.78,61.44,1.75,25.92,Amber
50.9,119.03,0.38,82.75,Red
81.64,14.72,2.04,66.51,Red
107.32,134.1,4.7,88.4,Red
73.96,60.87,3.86,50.37,Red
136.74,20.6,3.02,26.61,Red
166.04,131.78,5.25,71.91,Red
136.45,128.84,2.88,26.32,Red
160.4,10.66,3.89,29.91,Red
176.81,16.22,4.13,65.45,Red
67.58,86.47,3.86,83.02,Red
85.82,139.17,4.69,76.45,Red
93.17,113.11,5.1,55.39,Red
48.54,67.53,2.8,30.63,Red
67.7,102.01,3.22,48.69,Red
44.93,112.8,2.05,27.52,Red
165.39,75.32,5.22,58.46,Red
134.33,145.27,4.57,84.1,Red
6.17,64.82,5.4,87.25,Red
14.28,62.73,5.3,64.09,Red
134.81,138.82,1.57,86.13,Red
99.52,55.88,1.63,74.62,Red
172.11,111.42,0.31,46.27,Red
166.84,119.91,5.49,70.12,Red
133.39,112.04,2.67,45.32,Red
6.95,74.57,2.86,83.92,Red
19.98,121.86,0.42,88.96,Red
167.28,104.2,3.83,78.19,Red
13.2,34.64,0.9,63.76,Green
59.82,27.97,4.55,31.17,Red
21.39,69.41,0.18,55.87,Amber
96.81,121.71,2.76,80.9,Red
135.66,96.42,2.72,79.57,Red
86.57,135.17,2.61,68.61,Red
103.73,38.53,0.34,44.95,Red
11.16,100.86,4.6,66.6,Red
174.98,50.88,5.34,72.04,Red
53.87,26.23,5.39,63.13,Red
47.49,85.22,2.05,66.52,Red
6.24,88.98,3.43,50.55,Red
32.31,44.94,1.45,38.54,Amber
169.7,89.8,3.39,71.51,Red
92.55,145.59,3.84,32.29,Red
162.02,34.47,1.64,72.55,Red
128.97,82.32,2.02,62.16,Red
100.91,55.86,3.7,57.5,Red
93.22,102.88,3.08,30.03,Red
122.65,45.26,1.92,45.53,Red
21.6,101.15,2.09,52.16,Red
173.02,65.14,1.72,67.39,Red
87.21,142.39,0.58,89.18,Red
162.62,92.45,5.03,39.68,Red
71.09,96.26,1.49,26.4,Red
79.13,98.19,1.31,86.52,Red
107.3,46.86,3.1,90.74,Red
132.47,104.91,3.95,53.52,Red
14.3,61.56,3.38,86.62,Red
9.55,122.66,2.59,54.69,Red
77.03,13.79,4.67,25.07,Red
58.44,68.37,3.24,73.45,Red
176.26,111.21,0.6,59.43,Red
62.31,81.84,1.25,57.18,Red
89.07,79.03,1.98,66.48,Red
125.26,41.72,3.97,43.79,Red
68.37,148.63,0.84,59.31,Red
86.87,145.97,4.32,52.67,Red
98.87,148.3,2.08,52.11,Red
179.45,140.57,2.57,74.01,Red
134.88,44.25,4.92,78.92,Red
110.44,90.36,3.83,28.48,Red
72.77,52.19,1.79,35.31,Amber
174.95,19.09,3.42,75.21,Red
126.19,55.61,5.28,49.21,Red
37.34,49.8,2.58,26.86,Red
29.84,89.49,1.89,92.06,Red
25.96,123.5,0.57,26.7,Red
106.48,110.99,4.14,81.76,Red
73.84,59.24,2.97,90.17,Red
90.99,38.72,3.52,85.16,Red
78.51,86.8,0.17,85.22,Red
103.05,24.16,0.31,77.89,Red
162.86,111.49,0.59,48.59,Red
12.54,72.51,3.0,76.96,Red
106.61,113.65,3.07,80.06,Red
151.86,53.24,4.05,51.87,Red
111.88,81.32,4.66,30.93,Red
49.55,96.47,3.15,87.32,Red
74.02,112.84,2.38,41.77,Red
68.16,87.9,3.69,66.89,Red
65.96,93.03,3.26,87.06,Red
86.85,67.02,3.12,65.9,Red
78.4,126.59,2.43,55.24,Red
71.21,17.88,0.94,89.58,Amber
80.03,74.24,3.3,70.3,Red
155.86,91.61,4.0,79.26,Red
130.96,143.16,3.13,27.27,Red
61.12,55.39,2.17,39.92,Amber
99.9,128.24,3.51,72.76,Red
120.52,112.66,0.65,70.7,Red
62.82,70.91,1.41,63.79,Amber
98.61,126.88,1.14,47.33,Red
79.37,104.15,4.89,39.83,Red
46.89,26.46,1.42,78.31,Amber
179.02,125.57,2.45,47.2,Red
35.12,25.37,4.45,53.51,Red
115.67,67.94,0.12,55.21,Red
52.39,133.5,4.56,25.54,Red
131.83,67.0,3.57,80.17,Red
28.3,71.76,4.75,25.83,Red
58.72,31.37,2.75,74.44,Red
37.12,147.77,0.65,57.45,Red
28.62,18.93,0.71,66.94,Green
18.49,110.74,5.31,47.16,Red
106.99,96.97,4.32,67.34,Red
30.59,52.19,3.39,38.74,Red
31.57,47.11,1.02,82.8,Amber
18.91,96.29,0.62,91.55,Red
66.29,40.77,4.85,41.06,Red
35.72,82.1,4.12,94.06,Red
46.4,139.5,3.15,67.57,Red
124.72,93.42,2.2,75.71,Red
132.62,70.07,3.29,45.0,Red
132.95,149.31,2.51,48.73,Red
18.43,27.53,3.42,50.76,Red
83.3,24.02,4.55,83.17,Red
90.74,121.26,4.4,74.61,Red
59.83,133.75,3.3,63.7,Red
176.52,74.37,5.22,36.87,Red
125.8,50.17,3.22,45.26,Red
159.61,70.21,1.64,71.24,Red
93.33,132.08,4.2,72.26,Red
104.53,92.67,5.5,29.38,Red
66.15,20.54,1.32,27.14,Amber
51.16,104.73,4.22,74.01,Red
155.75,91.74,4.12,34.51,Red
89.63,34.44,4.08,85.27,Red
104.95,84.55,2.31,86.24,Red
35.93,128.93,2.14,26.26,Red
15.5,119.5,0.18,85.22,Red
56.24,116.66,1.01,64.1,Red
54.47,31.69,3.17,58.36,Red
10.15,26.57,0.63,59.62,Green
138.17,63.68,4.54,28.76,Red
59.45,103.03,0.5,44.38,Red
151.31,92.08,1.05,55.99,Red
36.34,89.16,1.28,25.35,Red
177.58,59.34,3.04,70.13,Red
50.29,44.3,3.81,73.63,Red
79.74,66.06,3.3,42.28,Red
49.15,51.17,3.71,72.72,Red
59.24,111.55,5.4,32.15,Red
53.18,65.43,1.2,57.45,Amber
85.81,124.44,4.67,52.55,Red
72.48,99.99,0.41,51.21,Red
33.26,63.43,0.55,51.5,Amber
47.67,141.0,0.39,91.14,Red
14.13,65.63,5.01,88.26,Red
152.04,95.16,1.95,77.54,Red
112.08,94.1,5.22,32.15,Red
171.61,145.39,4.93,51.76,Red
138.37,121.69,2.33,34.1,Red
17.75,95.59,0.27,94.84,Red
150.86,96.39,0.76,83.85,Red
134.3,37.87,4.4,30.62,Red
159.68,23.06,1.61,29.0,Red
130.02,16.72,3.3,74.39,Red
12.69,120.32,2.3,45.72,Red
112.74,20.18,2.42,79.32,Red
140.29,32.99,4.78,69.58,Red
89.51,106.5,4.23,86.61,Red
77.09,74.12,4.43,25.16,Red
98.04,78.29,3.0,80.43,Red
51.68,139.97,4.84,55.21,Red
68.39,48.52,3.12,63.79,Red
51.06,54.35,5.24,66.15,Red
15.4,125.73,4.57,66.53,Red
109.57,51.73,1.89,41.66,Red
158.04,147.74,1.37,88.44,Red
33.38,58.64,4.4,65.31,Red
69.31,59.92,3.52,78.21,Red
30.37,20.21,2.11,32.68,Amber
124.54,13.7,3.93,67.94,Red
106.73,44.01,3.91,74.97,Red
128.89,87.03,3.44,44.69,Red
142.79,125.89,1.0,52.34,Red
120.8,27.64,4.91,60.62,Red
178.24,35.18,2.37,71.25,Red
36.35,72.31,3.03,94.83,Red
102.41,76.31,3.26,76.66,Red
99.12,76.48,0.83,40.64,Red
69.71,56.55,4.84,50.68,Red
7.58,41.94,2.21,46.98,Amber
178.54,19.07,4.33,60.63,Red
173.25,101.24,1.72,28.11,Red
50.8,31.92,4.02,50.28,Red
28.08,140.62,4.87,93.74,Red
27.19,81.81,5.21,89.74,Red
107.56,101.84,1.02,51.3,Red
32.84,17.44,3.23,92.57,Red
68.93,41.77,1.46,50.66,Amber
67.6,110.95,4.56,76.81,Red
138.52,77.0,4.86,30.23,Red
12.4,118.94,1.85,80.17,Red
67.96,56.02,1.42,46.28,Amber
84.19,115.43,5.46,83.06,Red
167.64,36.33,0.24,72.92,Red
46.19,144.5,1.12,50.72,Red
153.56,35.45,0.29,45.06,Red
179.01,149.18,0.65,77.75,Red
40.25,110.33,1.2,74.8,Red
74.25,18.79,4.68,38.66,Red
174.93,131.52,4.71,68.11,Red
52.91,134.62,1.96,30.54,Red
136.92,98.23,3.66,29.59,Red
106.63,13.72,3.5,51.96,Red
116.69,94.91,4.48,53.56,Red
15.63,38.31,2.27,86.05,Amber
172.16,101.39,3.5,58.29,Red
123.07,83.06,2.3,85.65,Red
50.1,137.05,0.1,36.97,Red
19.01,95.85,4.0,65.84,Red
10.44,138.65,3.55,68.99,Red
65.47,22.74,4.9,39.98,Red
121.84,28.92,4.73,38.77,Red
43.87,79.08,4.91,72.1,Red
19.06,91.71,3.01,38.72,Red
36.47,69.46,4.49,65.87,Red
